Line	MessageNo	File Name
0	1	mikroCPIC1618.exe -MSF -DBG -pP18F4620 -DL -O11111114 -fo8 -N"C:\Users\aluno\Desktop\Temperatura_LCD\temp_lcd.mcppi" -SP"C:\Users\aluno\Desktop\Miguel\mikroC PRO for PIC\defs\" -SP"C:\Users\aluno\Desktop\Miguel\mikroC PRO for PIC\uses\P18\" -SP"C:\Users\aluno\Desktop\Temperatura_LCD\" "temp_lcd.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprintf.mcl" "__Lib_PrintOut.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_A_D.mcl" "__Lib_EEPROM_1024.mcl" "__Lib_FLASH_w64_e64.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_CFFat16.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_Mmc.mcl" "__Lib_MmcFat16.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl"	 
hint: 0	1138	Available RAM: 3947 [bytes], Available ROM: 65536 [bytes]	 
diagnostics: 0	126	All files Preprocessed in 187 ms	 
diagnostics: 0	122	Compilation Started	temp_lcd.c
diagnostics: 137	123	Compiled Successfully	temp_lcd.c
diagnostics: 0	127	All files Compiled in 422 ms	 
hint: 0	1143	Used RAM (bytes): 64 (2%)  Free RAM (bytes): 3883 (98%)	Used RAM (bytes): 64 (2%)  Free RAM (bytes): 3883 (98%)
hint: 0	1143	Used ROM (bytes): 4066 (6%)  Free ROM (bytes): 61470 (94%)	Used ROM (bytes): 4066 (6%)  Free ROM (bytes): 61470 (94%)
diagnostics: 0	125	Project Linked Successfully	temp_lcd.mcppi
diagnostics: 0	128	Linked in 1656 ms	 
diagnostics: 0	129	Project 'temp_lcd.mcppi' completed: 3359 ms	 
diagnostics: 0	103	Finished successfully: 09 set 2016, 21:28:06	temp_lcd.mcppi
